Ethnic group,Age,Year at 30 June,Sex,Value,Flags
"Total people, ethnic group","23 Years","2013","Total people, sex",62250,
"Total people, ethnic group","24 Years","2013","Total people, sex",59530,
"Total people, ethnic group","25 Years","2013","Total people, sex",57790,
"Total people, ethnic group","22 Years","2013","Total people, sex",64820,
"Total people, ethnic group","20 Years","2013","Total people, sex",64400,
"Total people, ethnic group","21 Years","2013","Total people, sex",63910,
"Total people, ethnic group","19 Years","2013","Total people, sex",63130,
"Total people, ethnic group","18 Years","2013","Total people, sex",62920,
"Total people, ethnic group","15 Years","2013","Total people, sex",61560,
"Total people, ethnic group","16 Years","2013","Total people, sex",62000,
"Total people, ethnic group","17 Years","2013","Total people, sex",62870,
"Total people, ethnic group","29 Years","1996","Total people, sex",56740,
"Total people, ethnic group","30 Years","1996","Total people, sex",56900,
"Total people, ethnic group","31 Years","1996","Total people, sex",58400,
"Total people, ethnic group","32 Years","1996","Total people, sex",61170,
"Total people, ethnic group","33 Years","1996","Total people, sex",62410,
"Total people, ethnic group","34 Years","1996","Total people, sex",63150,
"Total people, ethnic group","35 Years","1996","Total people, sex",62190,
"Total people, ethnic group","36 Years","1996","Total people, sex",60480,
"Total people, ethnic group","37 Years","1996","Total people, sex",59820,
"Total people, ethnic group","38 Years","1996","Total people, sex",56920,
"Total people, ethnic group","39 Years","1996","Total people, sex",56420,
"Total people, ethnic group","40 Years","1996","Total people, sex",55430,
"Total people, ethnic group","41 Years","1996","Total people, sex",53840,
"Total people, ethnic group","42 Years","1996","Total people, sex",53070,
"Total people, ethnic group","43 Years","1996","Total people, sex",51180,
"Total people, ethnic group","44 Years","1996","Total people, sex",50690,
"Total people, ethnic group","45 Years","1996","Total people, sex",50010,
"Total people, ethnic group","46 Years","1996","Total people, sex",50280,
"Total people, ethnic group","47 Years","1996","Total people, sex",49570,
"Total people, ethnic group","48 Years","1996","Total people, sex",49750,
"Total people, ethnic group","49 Years","1996","Total people, sex",49840,
"Total people, ethnic group","50 Years","1996","Total people, sex",41980,
"Total people, ethnic group","51 Years","1996","Total people, sex",40100,
"Total people, ethnic group","52 Years","1996","Total people, sex",38200,
"Total people, ethnic group","53 Years","1996","Total people, sex",34590,
"Total people, ethnic group","54 Years","1996","Total people, sex",38060,
